Age, Male Annual Mortality , Female Annual Mortality , Couple Annual Mortality ,Male Median Life Expectancy, Female Median Life Expectancy ,Couples Life Expectancy, Men Alive ,Women Alive, Couples at Least One Alive ,P(A Alive),P(B Alive),P(A Dead),P(B Alive), P(At least one Alive) ,,,,,,,,,,,,, Milevsky ,,,,,
1,0.00044,0.0004,1,75.62,80.39,0.99996,"99,332","99,444","99,996",0.99,0.99,0.01,0.01,1,,,,,,,,,,,,,,,,,,
2,0.0003,0.00021,1,74.65,79.43,0.99996,"99,289","99,404","99,996",0.99,0.99,0.01,0.01,1,,,,,,,,,,,,,,,,,,
3,0.00023,0.00016,1,73.67,78.44,0.99995,"99,259","99,383","99,995",0.99,0.99,0.01,0.01,1,,,,,,,,,,,,,,,,,,
4,0.00017,0.00013,1,72.69,77.46,0.99995,"99,235","99,367","99,995",0.99,0.99,0.01,0.01,1,,,,,,,,,,,,,,,,,,
5,0.00016,0.00012,1,71.7,76.47,0.99995,"99,218","99,354","99,995",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
6,0.00014,0.00011,1,70.71,75.47,0.99995,"99,203","99,342","99,995",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
7,0.00013,0.0001,1,69.72,74.48,0.99995,"99,189","99,332","99,995",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
8,0.00012,0.00009,1,68.73,73.49,0.99994,"99,176","99,322","99,994",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
9,0.0001,0.00009,1,67.74,72.5,0.99994,"99,164","99,313","99,994",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
10,0.00008,0.00009,1,66.74,71.5,0.99994,"99,155","99,304","99,994",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
11,0.00009,0.0001,1,65.75,70.51,0.99994,"99,147","99,295","99,994",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
12,0.00013,0.00011,1,64.76,69.52,0.99994,"99,138","99,285","99,994",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
13,0.00021,0.00014,0.99999,63.76,68.52,0.99994,"99,126","99,274","99,994",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
14,0.00032,0.00017,0.99999,62.78,67.53,0.99993,"99,106","99,261","99,993",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
15,0.00044,0.00021,0.99999,61.8,66.54,0.99993,"99,074","99,244","99,993",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
16,0.00056,0.00025,0.99999,60.82,65.56,0.99992,"99,030","99,223","99,992",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
17,0.00069,0.00028,0.99999,59.86,64.57,0.99992,"98,975","99,199","99,992",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
18,0.00082,0.00032,0.99998,58.9,63.59,0.99991,"98,906","99,171","99,991",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
19,0.00095,0.00035,0.99997,57.95,62.61,0.9999,"98,825","99,139","99,990",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
20,0.00109,0.00039,0.99997,57,61.63,0.99989,"98,731","99,105","99,989",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
21,0.00121,0.00042,0.99996,56.06,60.66,0.99987,"98,624","99,066","99,987",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
22,0.0013,0.00045,0.99994,55.13,59.68,0.99985,"98,505","99,024","99,985",0.99,0.99,0.01,0.01,0.9999,,,,,,,,,,,,,,,,,,
23,0.00135,0.00048,0.99993,54.2,58.71,0.99983,"98,376","98,979","99,983",0.98,0.99,0.02,0.01,0.9998,,,,,,,,,,,,,,,,,,
24,0.00135,0.00049,0.99992,53.27,57.74,0.99981,"98,244","98,932","99,981",0.98,0.99,0.02,0.01,0.9998,,,,,,,,,,,,,,,,,,
