 Age , Male Cum Prob of Death , Female Cum Prob of Death , Joint Cum Prob of Death ,Int Deaths per Thousand
65, 0.01496 , 0.01496 , 0.01496 ,15
66, 0.03091 , 0.03091 , 0.03091 ,16
67, 0.04786 , 0.04786 , 0.04786 ,17
68, 0.06580 , 0.06580 , 0.06580 ,18
69, 0.08475 , 0.08475 , 0.08475 ,19
70, 0.10469 , 0.10469 , 0.10469 ,20
71, 0.12662 , 0.12662 , 0.12662 ,22
72, 0.14955 , 0.14955 , 0.14955 ,23
73, 0.17448 , 0.17448 , 0.17448 ,25
74, 0.20040 , 0.20040 , 0.20040 ,26
75, 0.22832 , 0.22832 , 0.22832 ,28
76, 0.25723 , 0.25723 , 0.25723 ,29
77, 0.28814 , 0.28814 , 0.28814 ,31
78, 0.32104 , 0.32104 , 0.32104 ,33
79, 0.35494 , 0.35494 , 0.35494 ,34
80, 0.39083 , 0.39083 , 0.39083 ,36
81, 0.42772 , 0.42772 , 0.42772 ,37
82, 0.46660 , 0.46660 , 0.46660 ,39
83, 0.50648 , 0.50648 , 0.50648 ,40
84, 0.54736 , 0.54736 , 0.54736 ,41
85, 0.58923 , 0.58923 , 0.58923 ,42
86, 0.63111 , 0.63111 , 0.63111 ,42
87, 0.67298 , 0.67298 , 0.67298 ,42
88, 0.71386 , 0.71386 , 0.71386 ,41
89, 0.75374 , 0.75374 , 0.75374 ,40
90, 0.79163 , 0.79163 , 0.79163 ,38
91, 0.82652 , 0.82652 , 0.82652 ,35
92, 0.85842 , 0.85842 , 0.85842 ,32
93, 0.88734 , 0.88734 , 0.88734 ,29
94, 0.91226 , 0.91226 , 0.91226 ,25
95, 0.93320 , 0.93320 , 0.93320 ,21
96, 0.95115 , 0.95115 , 0.95115 ,18
97, 0.96510 , 0.96510 , 0.96510 ,14
98, 0.97607 , 0.97607 , 0.97607 ,11
99, 0.98405 , 0.98405 , 0.98405 ,8
100, 0.98903 , 0.98903 , 0.98903 ,5
101, 0.99302 , 0.99302 , 0.99302 ,4
102, 0.99601 , 0.99601 , 0.99601 ,3
103, 0.99801 , 0.99801 , 0.99801 ,2
104, 0.99900 , 0.99900 , 0.99900 ,1
105, 1.00000 , 1.00000 , 1.00000 ,1
106, 1.00000 , 1.00000 , 1.00000 ,0
107, 1.00000 , 1.00000 , 1.00000 ,0
108, 1.00000 , 1.00000 , 1.00000 ,0
109, 1.00000 , 1.00000 , 1.00000 ,0
110, 1.00000 , 1.00000 , 1.00000 ,0
111, 1.00000 , 1.00000 , 1.00000 ,0
112, 1.00000 , 1.00000 , 1.00000 ,0
113, 1.00000 , 1.00000 , 1.00000 ,0
114, 1.00000 , 1.00000 , 1.00000 ,0
115, 1.00000 , 1.00000 , 1.00000 ,0
,,,,
,,,,1003
